Name,Year,Weight
The Merry Game of Floundering,1952,1
Skunk,1953,1
Astron,1954,1
Das Jagdspiel,1954,1
Monopoly: Popular Edition,1954,1
Test Match,1955,1
Curious George Match-a-Balloon Game,1957,1
Test Match,1960,1
Barbie Queen of the Prom Game,1960,1
Monopoly: Dutch Edition,1961,1
Bowl and Score,1962,1
The Match Game,1963,1
Bonanza,1964,1
Scrabble Crossword Cubes Game,1964,1
Pie Face,1964,1
Table Soccer,1965,1
Alpen Roulette,1965,1
Green Ghost,1965,1
Drag Strip!,1965,1
Kreskin's ESP,1967,1
Stump,1968,1
Hats Off,1968,1
Rock Paper Scissors,1968,1
Situation 7,1969,1
Toss Across,1969,1
Joker Marbles,1970,1
APBA American Saddle Racing,1970,1
Paddle Pool,1970,1
Scan,1970,1
Stacrobats,1970,1
Buckaroo!,1970,1
Rebound,1971,1
Peanut Butter & Jelly Card Game,1971,1
Charge it!,1972,1
BattleBoard,1972,1
Quips,1972,1
Mix-max,1972,1
The Fastest Gun,1973,1
Schuss und Tor,1973,1
Chute-5,1973,1
Catchphrase,1974,1
Pro Draft,1974,1
Barricade,1974,1
Differix,1974,1
4 First Games,1974,1
Race to the Roof,1974,1
The McDonald's Game,1975,1
Arkansas Bluff,1975,1
Lost Gold,1975,1
Jet World,1975,1
Bionic Crisis,1975,1
Clown,1975,1
Grzybobranie,1975,1
10-Four. Good Buddy,1976,1
The Bionic Woman,1976,1
Thieves in the Wood,1976,1
Reporter,1976,1
Mr. Mouth,1976,1
Obsession,1977,1
Big Foot,1977,1
No Peeking!,1977,1
Take 5,1977,1
Spider & Fly,1977,1
Shifti,1977,1
Dirty Words,1977,1
Choco,1977,1
Crossword,1978,1
Super 3,1978,1
Intercept: The Electronic Search and Destroy Game,1978,1
Off to the Tower,1978,1
Close Encounters of the Third Kind,1978,1
Ginny-O,1978,1
Jumbolino,1978,1
Alien,1979,1
Super Simon,1979,1
Strolling Bowling,1979,1
Movies and Money,1979,1
The Allowance Game,1979,1
Tri-Trac,1980,1
Harvest Time,1980,1
Hedgehog's Revenge!,1980,1
Die Maus: Mausefalle,1980,1
An Enchanting Evening,1981,1
Garfield,1981,1
Fast 111's,1981,1
The Dukes of Hazzard Game,1981,1
